,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotations
340,52.0637,-176.0714,160,1600321984,377,4,0.87,-1,V,"volcanic (type a), one subnet only — Great Sitkin"
341,51.8713,-176.2293,94.5145,1600322765,378,4,1.83,0.125,V,"volcanic (type a), one subnet only — Great Sitkin"
342,53.5172,-173.1402,9.4568,1600328555,379,7,2.38,0.5921,-,earthquake
343,54.1988,-166.0342,30.3008,1600329144,380,4,-999,0.0933,-,earthquake
344,51.7296,-175.5654,32.5224,1600329229,381,7,2.07,0.4512,D,Duplicate of evid #380 — same event but with Ps places on S-arrivals
345,51.8836,-174.7042,10.0028,1600331583,382,5,1.85,0.1639,-,earthquake
346,51.9174,-176.4952,0.0024,1600345529,383,8,-999,3.0089,-,earthquake — poor location
348,51.3637,-177.7863,0.3276,1600366768,385,20,2.15,0.7207,-,earthquake
350,52.0765,-173.6967,33.6104,1600372015,388,4,-999,0.2171,n,"noise, possibly teleseismic signal"
354,52.2985,-174.0907,50,1600383275,392,4,0.54,-1,V,"volcanic (type a), one subnet only — Korovin"
355,51.3727,-175.6538,99.8971,1600387359,393,12,1.81,1.8127,-,earthquake
356,51.7692,-177.0656,1.2956,1600390969,394,12,0.6,4.1821,-,earthquake — poor location
358,51.5786,-176.5445,51.9049,1600393160,396,5,-999,0.3787,-,earthquake — low SNR
362,50.9133,-177.8929,5.279,1600450320,400,6,2.28,0.4719,-,earthquake
363,52.996,-166.3472,35.7637,1600459580,401,6,1.76,0.5577,-,earthquake — very low SNR
364,51.8668,-176.6021,0.9581,1600480177,402,16,1.03,2.6903,-,earthquake — very poor location
365,52.094,-175.6957,22.2924,1600485898,403,9,1.22,0.1951,-,earthquake
366,50.9786,-177.6182,0.0195,1600487961,404,9,2.02,0.8859,-,error 404: earthquake not found (is an earthquake)
367,51.776,-176.9374,0,1600488161,405,11,-999,9.654,-,"earthquake, poor location"
368,53.5128,-167.0715,17.0805,1600490829,406,12,-999,0.379,-,earthquake
376,51.7654,-177.1964,39.3134,1600512599,415,13,1.85,0.658,D,Duplicate of matched evid #414 (evid #415 is S-phase location only)
377,51.5941,-176.9353,20,1600516460,416,5,-999,-1,-,"earthquake, small"
379,51.811,-177.2115,0.0049,1600525452,418,6,-999,3.4316,-,"earthquake, small"
382,52.0493,-174.3404,0,1600544050,421,8,1.12,0.221,-,earthquake
383,51.5827,-176.2126,26.4289,1600544827,422,6,1.38,0.7927,-,earthquake
384,51.9749,-174.7515,20.0001,1600545969,423,10,1.53,0.5353,-,earthquake
386,53.1961,-166.1533,35.4199,1600560112,425,10,2.01,0.7196,-,earthquake
387,53.9387,-165.7469,39.8535,1600562277,426,6,1.01,0.2451,-,earthquake
388,51.8157,-177.3419,0,1600564090,427,14,2.21,10.8954,-,"earthquake, poor loaction"
390,53.931,-165.7297,31.1346,1600567683,429,10,2.18,0.2354,-,earthquake — P-only location
392,51.4457,-176.7763,0.5697,1600603081,432,12,2.1,0.5615,-,earthquake
393,51.5675,-177.6408,35.0252,1600607865,433,5,-999,0.2034,-,"earthquake, small"
394,54.1327,-165.9141,5.7373,1600631032,434,7,-999,0.3096,-,"earthquake, small, one subnet only"
396,53.4936,-167.5287,0.3166,1600682795,436,9,-999,3.4773,-,earthquake
400,51.8788,-176.5686,0.0441,1600718157,440,14,-999,3.8727,-,earthquake — poor location
401,53.4865,-167.6764,0.0818,1600722511,441,8,-999,6.2752,-,earthquake — poor location and low SNR
402,52.039,-175.3616,15.949,1600727723,442,7,2.36,5.9363,-,earthquake — poor location
405,52.8744,-167.3248,27.9163,1600737673,445,5,2.96,0.1088,D,Duplicate of matched evid #444 (evid #445 is S-only location)
407,51.5061,-177.1477,71.1793,1600751631,447,9,-999,0.2775,-,earthquake
408,53.9852,-165.4361,26.6139,1600751752,448,11,2.96,0.1861,-,"earthquake — P-only location, despite many S-arrivals"
410,52.3052,-173.9053,41.196,1600766114,451,4,-999,0.2552,-,earthquake
411,53.4762,-165.0166,26.2584,1600771074,452,9,2.62,0.556,-,earthquake
412,50.5447,-176.0134,15.6542,1600775788,453,6,2.48,0.4915,-,"earthquake, low SNR"
413,52.3139,-174.398,12.9245,1600782457,454,20,-999,4.0659,-,earthquake
414,51.9846,-175.4655,37.3319,1600782478,455,8,2.46,0.1671,D,Duplicate of evid #454
415,52.3158,-174.1177,5.6672,1600783575,456,8,-999,0.3186,V,"volcanic (type a), one subnet only — Korovin"
