,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotations
318,60.5328,-142.8702,0.344,1664359780,1311,16,0.67,0.6244,-,earthquake
319,60.409,-143.6411,5.9435,1664361819,1312,5,-999,0.4599,-,earthquake
320,60.3169,-141.083,0.0349,1664368146,1313,6,0.71,1.2448,-,earthquake
321,60.1632,-140.7514,28.1918,1664372877,1314,11,0.99,0.6608,-,earthquake
322,60.0591,-141.6386,22.5896,1664374193,1315,4,1.24,0.0304,lf_G,low frequency glacial event
325,60.1541,-141.0615,19.639,1664376796,1318,6,-999,0.2308,-,earthquake
327,60.445,-143.0112,8.0398,1664378856,1320,7,0.53,0.2221,-,earthquake
329,59.9916,-141.3339,21.9236,1664390597,1322,11,1.23,0.8723,-,earthquake
330,60.8723,-143.354,6.6484,1664393865,1323,5,1.4,1.4119,n,"""phantom event"" on regional signal — Pn/Pg phase arrivals"
331,60.3189,-143.5113,0.7059,1664393870,1324,5,-999,0.739,D,duplicate of evid #1323
332,60.1235,-140.7162,0.0053,1664398596,1325,8,0.73,1.4133,-,earthquake
334,60.392,-143.2948,11.778,1664409333,1327,17,1.32,1.1885,-,earthquake
335,60.1044,-143.7552,13.7058,1664409326,1328,4,-999,0.053,D,duplicate of evid #1327
337,60.9262,-144.2777,22.3411,1664414756,1331,12,-999,4.4556,-,earthquake (poor location)
338,61.055,-141.1299,22.8159,1664416611,1332,14,1.49,4.6633,-,earthquake (poor location)
339,59.3545,-141.1539,0.2588,1664423477,1333,6,1.74,3.9712,-,earthquake (tiny)
340,59.9389,-141.6171,10.6553,1664424996,1334,9,1.51,1.0207,-,earthquake
341,60.3144,-140.2666,44.8494,1664437947,1335,6,-999,0.8536,n,"potentially valid regional signal, but combined with impulsive signals on other stations"
342,60.0468,-141.9673,0.4759,1664443048,1336,8,1.98,1.1186,-,regional earthquake
343,60.4048,-143.791,53.6036,1664443029,1337,5,1.63,0.5797,D,duplicate of evid #1337
